action seq idx tl_x tl_y br_x br_y 
pick 001 1 24 169 464 609 
pick 001 4 24 169 464 609 
pick 001 7 24 169 464 609 
pick 001 10 24 169 464 609 
pick 001 13 24 169 464 609 
push 002 1 24 186 479 641 
push 002 4 24 186 479 641 
push 002 7 24 186 479 641 
push 002 10 24 186 479 641 
push 002 13 24 186 479 641 
push 002 0 100 181 481 562 
push 002 3 100 181 481 562 
push 002 6 100 181 481 562 
push 002 9 100 181 481 562 
push 002 12 100 181 481 562 
pick 001 0 80 97 451 468 
pick 001 3 80 97 451 468 
pick 001 6 80 97 451 468 
pick 001 9 80 97 451 468 
pick 001 12 80 97 451 468 
pick 001 2 24 54 443 473 
pick 001 5 24 54 443 473 
pick 001 8 24 54 443 473 
pick 001 11 24 54 443 473 
pick 001 14 24 54 443 473 
push 002 2 0 0 479 479 
push 002 5 0 0 479 479 
push 002 8 0 0 479 479 
push 002 11 0 0 479 479 
push 002 14 0 0 479 479 
knee 001 0 84 139 468 523 
knee 001 3 84 139 468 523 
knee 001 6 84 139 468 523 
knee 001 9 84 139 468 523 
knee 001 12 84 139 468 523 
standup 002 1 82 161 480 559 
standup 002 4 82 161 480 559 
standup 002 7 82 161 480 559 
standup 002 10 82 161 480 559 
standup 002 13 82 161 480 559 
run 001 2 10 86 475 551 
run 001 5 10 86 475 551 
run 001 8 10 86 475 551 
run 001 11 10 86 475 551 
run 001 14 10 86 475 551 
standup 002 0 170 136 479 445 
standup 002 3 170 136 479 445 
standup 002 6 170 136 479 445 
standup 002 9 170 136 479 445 
standup 002 12 170 136 479 445 
knee 001 1 29 108 460 539 
knee 001 4 29 108 460 539 
knee 001 7 29 108 460 539 
knee 001 10 29 108 460 539 
knee 001 13 29 108 460 539 
standup 002 2 91 77 479 465 
standup 002 5 91 77 479 465 
standup 002 8 91 77 479 465 
standup 002 11 91 77 479 465 
standup 002 14 91 77 479 465 
run 001 0 68 114 479 525 
run 001 3 68 114 479 525 
run 001 6 68 114 479 525 
run 001 9 68 114 479 525 
run 001 12 68 114 479 525 
run 001 1 11 92 463 544 
run 001 4 11 92 463 544 
run 001 7 11 92 463 544 
run 001 10 11 92 463 544 
run 001 13 11 92 463 544 
knee 001 2 30 91 447 508 
knee 001 5 30 91 447 508 
knee 001 8 30 91 447 508 
knee 001 11 30 91 447 508 
knee 001 14 30 91 447 508 
push 001 0 108 134 479 505 
push 001 3 108 134 479 505 
push 001 6 108 134 479 505 
push 001 9 108 134 479 505 
push 001 12 108 134 479 505 
pick 002 0 0 74 479 553 
pick 002 3 0 74 479 553 
pick 002 6 0 74 479 553 
pick 002 9 0 74 479 553 
pick 002 12 0 74 479 553 
pick 002 1 0 172 468 640 
pick 002 4 0 172 468 640 
pick 002 7 0 172 468 640 
pick 002 10 0 172 468 640 
pick 002 13 0 172 468 640 
push 001 1 40 202 479 641 
push 001 4 40 202 479 641 
push 001 7 40 202 479 641 
push 001 10 40 202 479 641 
push 001 13 40 202 479 641 
pick 002 2 0 9 479 488 
pick 002 5 0 9 479 488 
pick 002 8 0 9 479 488 
pick 002 11 0 9 479 488 
pick 002 14 0 9 479 488 
push 001 2 12 0 479 467 
push 001 5 12 0 479 467 
push 001 8 12 0 479 467 
push 001 11 12 0 479 467 
push 001 14 12 0 479 467 
standup 001 0 166 173 481 488 
standup 001 3 166 173 481 488 
standup 001 6 166 173 481 488 
standup 001 9 166 173 481 488 
standup 001 12 166 173 481 488 
run 002 2 24 100 458 534 
run 002 5 24 100 458 534 
run 002 8 24 100 458 534 
run 002 11 24 100 458 534 
run 002 14 24 100 458 534 
knee 002 1 42 117 443 518 
knee 002 4 42 117 443 518 
knee 002 7 42 117 443 518 
knee 002 10 42 117 443 518 
knee 002 13 42 117 443 518 
knee 002 0 103 144 459 500 
knee 002 3 103 144 459 500 
knee 002 6 103 144 459 500 
knee 002 9 103 144 459 500 
knee 002 12 103 144 459 500 
standup 001 1 115 159 479 523 
standup 001 4 115 159 479 523 
standup 001 7 115 159 479 523 
standup 001 10 115 159 479 523 
standup 001 13 115 159 479 523 
run 002 1 28 111 457 540 
run 002 4 28 111 457 540 
run 002 7 28 111 457 540 
run 002 10 28 111 457 540 
run 002 13 28 111 457 540 
knee 002 2 35 121 446 532 
knee 002 5 35 121 446 532 
knee 002 8 35 121 446 532 
knee 002 11 35 121 446 532 
knee 002 14 35 121 446 532 
run 002 0 86 119 479 512 
run 002 3 86 119 479 512 
run 002 6 86 119 479 512 
